Date,Store,Sales
1053,2020-05-21,Washington DC,40
1054,2020-05-22,Washington DC,40
1055,2020-05-23,Washington DC,2
1056,2020-05-24,Washington DC,96
1057,2020-05-25,Washington DC,67
1058,2020-05-26,Washington DC,40
1059,2020-05-27,Washington DC,52
1060,2020-05-28,Washington DC,70
1061,2020-05-29,Washington DC,66
1062,2020-05-30,Washington DC,72
1063,2020-05-31,Washington DC,20
1064,2020-06-01,Washington DC,100
1065,2020-06-02,Washington DC,25
1066,2020-06-03,Washington DC,9
1067,2020-06-04,Washington DC,29
1068,2020-06-05,Washington DC,48
1069,2020-06-06,Washington DC,21
1070,2020-06-07,Washington DC,93
1071,2020-06-08,Washington DC,41
1072,2020-06-09,Washington DC,32
1073,2020-06-10,Washington DC,71
1074,2020-06-11,Washington DC,9
1075,2020-06-12,Washington DC,29
1076,2020-06-13,Washington DC,74
1077,2020-06-14,Washington DC,96
1078,2020-06-15,Washington DC,33
1079,2020-06-16,Washington DC,7
1080,2020-06-17,Washington DC,50
1081,2020-06-18,Washington DC,8
1082,2020-06-19,Washington DC,36
1083,2020-06-20,Washington DC,88
1084,2020-06-21,Washington DC,13
1085,2020-06-22,Washington DC,10
1086,2020-06-23,Washington DC,20
1087,2020-06-24,Washington DC,78
1088,2020-06-25,Washington DC,93
1089,2020-06-26,Washington DC,48
1090,2020-06-27,Washington DC,8
1091,2020-06-28,Washington DC,50
1092,2020-06-29,Washington DC,29
1093,2020-06-30,Washington DC,68
1094,2020-07-01,Washington DC,14
1095,2020-07-02,Washington DC,22
1096,2020-07-03,Washington DC,28
1097,2020-07-04,Washington DC,80
1098,2020-07-05,Washington DC,44
1099,2020-07-06,Washington DC,21
1100,2020-07-07,Washington DC,18
1101,2020-07-08,Washington DC,76
1102,2020-07-09,Washington DC,55
1103,2020-07-10,Washington DC,8
1104,2020-07-11,Washington DC,61
1105,2020-07-12,Washington DC,11
1106,2020-07-13,Washington DC,7
1107,2020-07-14,Washington DC,83
1108,2020-07-15,Washington DC,19
1109,2020-07-16,Washington DC,78
1110,2020-07-17,Washington DC,78
1111,2020-07-18,Washington DC,14
1112,2020-07-19,Washington DC,21
1113,2020-07-20,Washington DC,14
1114,2020-07-21,Washington DC,64
1115,2020-07-22,Washington DC,3
1116,2020-07-23,Washington DC,21
1117,2020-07-24,Washington DC,35
1118,2020-07-25,Washington DC,81
1119,2020-07-26,Washington DC,31
1120,2020-07-27,Washington DC,31
1121,2020-07-28,Washington DC,34
1122,2020-07-29,Washington DC,46
1123,2020-07-30,Washington DC,74
1124,2020-07-31,Washington DC,74
1125,2020-08-01,Washington DC,90
1126,2020-08-02,Washington DC,8
1127,2020-08-03,Washington DC,12
1128,2020-08-04,Washington DC,24
1129,2020-08-05,Washington DC,42
1130,2020-08-06,Washington DC,17
1131,2020-08-07,Washington DC,84
1132,2020-08-08,Washington DC,19
1133,2020-08-09,Washington DC,7
1134,2020-08-10,Washington DC,73
1135,2020-08-11,Washington DC,43
1136,2020-08-12,Washington DC,23
1137,2020-08-13,Washington DC,7
1138,2020-08-14,Washington DC,56
1139,2020-08-15,Washington DC,78
1140,2020-08-16,Washington DC,24
1141,2020-08-17,Washington DC,45
1142,2020-08-18,Washington DC,33
1143,2020-08-19,Washington DC,31
1144,2020-08-20,Washington DC,90
1145,2020-08-21,Washington DC,17
1146,2020-08-22,Washington DC,62
1147,2020-08-23,Washington DC,38
1148,2020-08-24,Washington DC,8
1149,2020-08-25,Washington DC,30
1150,2020-08-26,Washington DC,38
1151,2020-08-27,Washington DC,70
1152,2020-08-28,Washington DC,86
1153,2020-08-29,Washington DC,90
1154,2020-08-30,Washington DC,100
1155,2020-08-31,Washington DC,87
1156,2020-09-01,Washington DC,84
1157,2020-09-02,Washington DC,34
1158,2020-09-03,Washington DC,66
1159,2020-09-04,Washington DC,17
1160,2020-09-05,Washington DC,9
1161,2020-09-06,Washington DC,67
1162,2020-09-07,Washington DC,43
1163,2020-09-08,Washington DC,45
1164,2020-09-09,Washington DC,97
1165,2020-09-10,Washington DC,68
1166,2020-09-11,Washington DC,15
1167,2020-09-12,Washington DC,32
1168,2020-09-13,Washington DC,63
1169,2020-09-14,Washington DC,2
1170,2020-09-15,Washington DC,26
1171,2020-09-16,Washington DC,100
1172,2020-09-17,Washington DC,29
1173,2020-09-18,Washington DC,38
1174,2020-09-19,Washington DC,47
1175,2020-09-20,Washington DC,12
1176,2020-09-21,Washington DC,31
1177,2020-09-22,Washington DC,79
1178,2020-09-23,Washington DC,34
1179,2020-09-24,Washington DC,38
1180,2020-09-25,Washington DC,41
1181,2020-09-26,Washington DC,55
1182,2020-09-27,Washington DC,3
1183,2020-09-28,Washington DC,12
1184,2020-09-29,Washington DC,37
1185,2020-09-30,Washington DC,56
1186,2020-10-01,Washington DC,19
1187,2020-10-02,Washington DC,85
1188,2020-10-03,Washington DC,98
1189,2020-10-04,Washington DC,52
1190,2020-10-05,Washington DC,3
1191,2020-10-06,Washington DC,1
1192,2020-10-07,Washington DC,50
1193,2020-10-08,Washington DC,63
1194,2020-10-09,Washington DC,53
1195,2020-10-10,Washington DC,99
1196,2020-10-11,Washington DC,63
1197,2020-10-12,Washington DC,4
1198,2020-10-13,Washington DC,85
1199,2020-10-14,Washington DC,22
1200,2020-10-15,Washington DC,46
1201,2020-10-16,Washington DC,28
1202,2020-10-17,Washington DC,43
1203,2020-10-18,Washington DC,17
1204,2020-10-19,Washington DC,8
1205,2020-10-20,Washington DC,31
1206,2020-10-21,Washington DC,66
1207,2020-10-22,Washington DC,70
1208,2020-10-23,Washington DC,92
1209,2020-10-24,Washington DC,18
1210,2020-10-25,Washington DC,63
1211,2020-10-26,Washington DC,49
1212,2020-10-27,Washington DC,38
1213,2020-10-28,Washington DC,17
1214,2020-10-29,Washington DC,9
1215,2020-10-30,Washington DC,57
1216,2020-10-31,Washington DC,38
1217,2020-11-01,Washington DC,13
1218,2020-11-02,Washington DC,36
1219,2020-11-03,Washington DC,21
1220,2020-11-04,Washington DC,30
1221,2020-11-05,Washington DC,14
1222,2020-11-06,Washington DC,68
1223,2020-11-07,Washington DC,53
1224,2020-11-08,Washington DC,42
1225,2020-11-09,Washington DC,89
1226,2020-11-10,Washington DC,33
1227,2020-11-11,Washington DC,73
1228,2020-11-12,Washington DC,50
1229,2020-11-13,Washington DC,41
1230,2020-11-14,Washington DC,96
1231,2020-11-15,Washington DC,21
1232,2020-11-16,Washington DC,87
1233,2020-11-17,Washington DC,81
1234,2020-11-18,Washington DC,17
1235,2020-11-19,Washington DC,23
1236,2020-11-20,Washington DC,56
1237,2020-11-21,Washington DC,12
1238,2020-11-22,Washington DC,75
1239,2020-11-23,Washington DC,85
1240,2020-11-24,Washington DC,96
1241,2020-11-25,Washington DC,48
1242,2020-11-26,Washington DC,12
1243,2020-11-27,Washington DC,93
1244,2020-11-28,Washington DC,62
1245,2020-11-29,Washington DC,91
1246,2020-11-30,Washington DC,70
1247,2020-12-01,Washington DC,48
1248,2020-12-02,Washington DC,79
1249,2020-12-03,Washington DC,79
1250,2020-12-04,Washington DC,22
1251,2020-12-05,Washington DC,53
1252,2020-12-06,Washington DC,42
1253,2020-12-07,Washington DC,63
1254,2020-12-08,Washington DC,98
1255,2020-12-09,Washington DC,94
1256,2020-12-10,Washington DC,56
1257,2020-12-11,Washington DC,74
1258,2020-12-12,Washington DC,54
1259,2020-12-13,Washington DC,30
1260,2020-12-14,Washington DC,99
1261,2020-12-15,Washington DC,87
1262,2020-12-16,Washington DC,57
1263,2020-12-17,Washington DC,100
1264,2020-12-18,Washington DC,50
1265,2020-12-19,Washington DC,94
1266,2020-12-20,Washington DC,72
1267,2020-12-21,Washington DC,99
1268,2020-12-22,Washington DC,10
1269,2020-12-23,Washington DC,91
1270,2020-12-24,Washington DC,74
1271,2020-12-25,Washington DC,29
1272,2020-12-26,Washington DC,46
1273,2020-12-27,Washington DC,24
1274,2020-12-28,Washington DC,55
1275,2020-12-29,Washington DC,45
1276,2020-12-30,Washington DC,73
1277,2020-12-31,Washington DC,26
1278,2021-01-01,Washington DC,54
1279,2021-01-02,Washington DC,97
1280,2021-01-03,Washington DC,92
1281,2021-01-04,Washington DC,3
1282,2021-01-05,Washington DC,72
1283,2021-01-06,Washington DC,36
1284,2021-01-07,Washington DC,53
1285,2021-01-08,Washington DC,22
1286,2021-01-09,Washington DC,73
1287,2021-01-10,Washington DC,10
1288,2021-01-11,Washington DC,6
1289,2021-01-12,Washington DC,47
1290,2021-01-13,Washington DC,75
1291,2021-01-14,Washington DC,33
1292,2021-01-15,Washington DC,5
1293,2021-01-16,Washington DC,43
1294,2021-01-17,Washington DC,42
1295,2021-01-18,Washington DC,6
1296,2021-01-19,Washington DC,56
1297,2021-01-20,Washington DC,90
1298,2021-01-21,Washington DC,98
1299,2021-01-22,Washington DC,93
1300,2021-01-23,Washington DC,51
1301,2021-01-24,Washington DC,91
1302,2021-01-25,Washington DC,94
1303,2021-01-26,Washington DC,98
1304,2021-01-27,Washington DC,28
1305,2021-01-28,Washington DC,21
1306,2021-01-29,Washington DC,69
1307,2021-01-30,Washington DC,7
1308,2021-01-31,Washington DC,11
1309,2021-02-01,Washington DC,92
1310,2021-02-02,Washington DC,84
1311,2021-02-03,Washington DC,19
1312,2021-02-04,Washington DC,35
1313,2021-02-05,Washington DC,83
1314,2021-02-06,Washington DC,51
1315,2021-02-07,Washington DC,9
1316,2021-02-08,Washington DC,60
1317,2021-02-09,Washington DC,45
1318,2021-02-10,Washington DC,37
1319,2021-02-11,Washington DC,73
1320,2021-02-12,Washington DC,25
1321,2021-02-13,Washington DC,4
1322,2021-02-14,Washington DC,37
1323,2021-02-15,Washington DC,41
1324,2021-02-16,Washington DC,88
1325,2021-02-17,Washington DC,23
1326,2021-02-18,Washington DC,73
1327,2021-02-19,Washington DC,12
1328,2021-02-20,Washington DC,14
1329,2021-02-21,Washington DC,61
1330,2021-02-22,Washington DC,61
1331,2021-02-23,Washington DC,89
1332,2021-02-24,Washington DC,11
1333,2021-02-25,Washington DC,61
1334,2021-02-26,Washington DC,23
1335,2021-02-27,Washington DC,14
1336,2021-02-28,Washington DC,85
1337,2021-03-01,Washington DC,73
1338,2021-03-02,Washington DC,77
1339,2021-03-03,Washington DC,67
1340,2021-03-04,Washington DC,99
1341,2021-03-05,Washington DC,69
1342,2021-03-06,Washington DC,10
1343,2021-03-07,Washington DC,57
1344,2021-03-08,Washington DC,97
1345,2021-03-09,Washington DC,32
1346,2021-03-10,Washington DC,86
1347,2021-03-11,Washington DC,49
1348,2021-03-12,Washington DC,22
1349,2021-03-13,Washington DC,44
1350,2021-03-14,Washington DC,91
1351,2021-03-15,Washington DC,51
1352,2021-03-16,Washington DC,27
1353,2021-03-17,Washington DC,3
1354,2021-03-18,Washington DC,97
1355,2021-03-19,Washington DC,91
1356,2021-03-20,Washington DC,24
1357,2021-03-21,Washington DC,81
1358,2021-03-22,Washington DC,60
1359,2021-03-23,Washington DC,73
1360,2021-03-24,Washington DC,5
1361,2021-03-25,Washington DC,8
1362,2021-03-26,Washington DC,62
1363,2021-03-27,Washington DC,67
1364,2021-03-28,Washington DC,36
1365,2021-03-29,Washington DC,87
1366,2021-03-30,Washington DC,52
1367,2021-03-31,Washington DC,43
