Date,Store,Sales
2020-06-24,Seattle,28
2020-06-25,Seattle,5
2020-06-26,Seattle,57
2020-06-27,Seattle,35
2020-06-28,Seattle,71
2020-06-29,Seattle,47
2020-06-30,Seattle,83
2020-07-01,Seattle,1
2020-07-02,Seattle,80
2020-07-03,Seattle,33
2020-07-04,Seattle,43
2020-07-05,Seattle,84
2020-07-06,Seattle,4
2020-07-07,Seattle,20
2020-07-08,Seattle,30
2020-07-09,Seattle,94
2020-07-10,Seattle,47
2020-07-11,Seattle,61
2020-07-12,Seattle,59
2020-07-13,Seattle,84
2020-07-14,Seattle,26
2020-07-15,Seattle,40
2020-07-16,Seattle,32
2020-07-17,Seattle,56
2020-07-18,Seattle,40
2020-07-19,Seattle,53
2020-07-20,Seattle,32
2020-07-21,Seattle,50
2020-07-22,Seattle,41
2020-07-23,Seattle,70
2020-07-24,Seattle,27
2020-07-25,Seattle,89
2020-07-26,Seattle,94
2020-07-27,Seattle,81
2020-07-28,Seattle,28
2020-07-29,Seattle,50
2020-07-30,Seattle,12
2020-07-31,Seattle,21
2020-08-01,Seattle,37
2020-08-02,Seattle,7
2020-08-03,Seattle,88
2020-08-04,Seattle,67
2020-08-05,Seattle,62
2020-08-06,Seattle,31
2020-08-07,Seattle,30
2020-08-08,Seattle,13
2020-08-09,Seattle,57
2020-08-10,Seattle,5
2020-08-11,Seattle,72
2020-08-12,Seattle,6
2020-08-13,Seattle,61
2020-08-14,Seattle,8
2020-08-15,Seattle,11
2020-08-16,Seattle,8
2020-08-17,Seattle,43
2020-08-18,Seattle,45
2020-08-19,Seattle,94
2020-08-20,Seattle,48
2020-08-21,Seattle,70
2020-08-22,Seattle,12
2020-08-23,Seattle,58
2020-08-24,Seattle,87
2020-08-25,Seattle,62
2020-08-26,Seattle,83
2020-08-27,Seattle,93
2020-08-28,Seattle,22
2020-08-29,Seattle,34
2020-08-30,Seattle,81
2020-08-31,Seattle,98
2020-09-01,Seattle,91
2020-09-02,Seattle,12
2020-09-03,Seattle,79
2020-09-04,Seattle,82
2020-09-05,Seattle,76
2020-09-06,Seattle,83
2020-09-07,Seattle,49
2020-09-08,Seattle,17
2020-09-09,Seattle,77
2020-09-10,Seattle,58
2020-09-11,Seattle,90
2020-09-12,Seattle,76
2020-09-13,Seattle,30
2020-09-14,Seattle,98
2020-09-15,Seattle,26
2020-09-16,Seattle,97
2020-09-17,Seattle,61
2020-09-18,Seattle,26
2020-09-19,Seattle,97
2020-09-20,Seattle,43
2020-09-21,Seattle,67
2020-09-22,Seattle,56
2020-09-23,Seattle,57
2020-09-24,Seattle,60
2020-09-25,Seattle,24
2020-09-26,Seattle,98
2020-09-27,Seattle,89
2020-09-28,Seattle,68
2020-09-29,Seattle,81
2020-09-30,Seattle,88
2020-10-01,Seattle,42
2020-10-02,Seattle,73
2020-10-03,Seattle,27
2020-10-04,Seattle,80
2020-10-05,Seattle,62
2020-10-06,Seattle,58
2020-10-07,Seattle,7
2020-10-08,Seattle,55
2020-10-09,Seattle,97
2020-10-10,Seattle,44
2020-10-11,Seattle,27
2020-10-12,Seattle,12
2020-10-13,Seattle,72
2020-10-14,Seattle,91
2020-10-15,Seattle,70
2020-10-16,Seattle,59
2020-10-17,Seattle,84
2020-10-18,Seattle,16
2020-10-19,Seattle,59
2020-10-20,Seattle,39
2020-10-21,Seattle,100
2020-10-22,Seattle,31
2020-10-23,Seattle,34
2020-10-24,Seattle,37
2020-10-25,Seattle,84
2020-10-26,Seattle,2
2020-10-27,Seattle,37
2020-10-28,Seattle,45
2020-10-29,Seattle,35
2020-10-30,Seattle,93
2020-10-31,Seattle,16
2020-11-01,Seattle,30
2020-11-02,Seattle,5
2020-11-03,Seattle,57
2020-11-04,Seattle,65
2020-11-05,Seattle,83
2020-11-06,Seattle,58
2020-11-07,Seattle,49
2020-11-08,Seattle,10
2020-11-09,Seattle,1
2020-11-10,Seattle,21
2020-11-11,Seattle,17
2020-11-12,Seattle,72
2020-11-13,Seattle,32
2020-11-14,Seattle,16
2020-11-15,Seattle,82
2020-11-16,Seattle,74
2020-11-17,Seattle,11
2020-11-18,Seattle,2
2020-11-19,Seattle,29
2020-11-20,Seattle,82
2020-11-21,Seattle,20
2020-11-22,Seattle,37
2020-11-23,Seattle,64
2020-11-24,Seattle,86
2020-11-25,Seattle,17
2020-11-26,Seattle,58
2020-11-27,Seattle,64
2020-11-28,Seattle,30
2020-11-29,Seattle,85
2020-11-30,Seattle,44
2020-12-01,Seattle,99
2020-12-02,Seattle,85
2020-12-03,Seattle,80
2020-12-04,Seattle,38
2020-12-05,Seattle,63
2020-12-06,Seattle,25
2020-12-07,Seattle,31
2020-12-08,Seattle,45
2020-12-09,Seattle,12
2020-12-10,Seattle,50
2020-12-11,Seattle,78
2020-12-12,Seattle,80
2020-12-13,Seattle,89
2020-12-14,Seattle,55
2020-12-15,Seattle,69
2020-12-16,Seattle,53
2020-12-17,Seattle,74
2020-12-18,Seattle,65
2020-12-19,Seattle,94
2020-12-20,Seattle,87
2020-12-21,Seattle,59
2020-12-22,Seattle,73
2020-12-23,Seattle,90
2020-12-24,Seattle,55
2020-12-25,Seattle,40
2020-12-26,Seattle,56
2020-12-27,Seattle,79
2020-12-28,Seattle,53
2020-12-29,Seattle,72
2020-12-30,Seattle,94
2020-12-31,Seattle,59
2021-01-01,Seattle,58
2021-01-02,Seattle,66
2021-01-03,Seattle,99
2021-01-04,Seattle,32
2021-01-05,Seattle,89
2021-01-06,Seattle,87
2021-01-07,Seattle,31
2021-01-08,Seattle,80
2021-01-09,Seattle,61
2021-01-10,Seattle,10
2021-01-11,Seattle,66
2021-01-12,Seattle,34
2021-01-13,Seattle,100
2021-01-14,Seattle,21
2021-01-15,Seattle,14
2021-01-16,Seattle,100
2021-01-17,Seattle,95
2021-01-18,Seattle,27
2021-01-19,Seattle,79
2021-01-20,Seattle,73
2021-01-21,Seattle,66
2021-01-22,Seattle,28
2021-01-23,Seattle,35
2021-01-24,Seattle,66
2021-01-25,Seattle,94
2021-01-26,Seattle,17
2021-01-27,Seattle,9
2021-01-28,Seattle,67
2021-01-29,Seattle,64
2021-01-30,Seattle,3
2021-01-31,Seattle,12
2021-02-01,Seattle,62
2021-02-02,Seattle,51
2021-02-03,Seattle,21
2021-02-04,Seattle,65
2021-02-05,Seattle,45
2021-02-06,Seattle,89
2021-02-07,Seattle,84
2021-02-08,Seattle,58
2021-02-09,Seattle,24
2021-02-10,Seattle,22
2021-02-11,Seattle,59
2021-02-12,Seattle,7
2021-02-13,Seattle,39
2021-02-14,Seattle,96
2021-02-15,Seattle,50
2021-02-16,Seattle,36
2021-02-17,Seattle,98
2021-02-18,Seattle,86
2021-02-19,Seattle,72
2021-02-20,Seattle,46
2021-02-21,Seattle,86
2021-02-22,Seattle,14
2021-02-23,Seattle,54
2021-02-24,Seattle,44
2021-02-25,Seattle,74
2021-02-26,Seattle,70
2021-02-27,Seattle,93
2021-02-28,Seattle,50
