Date,Store,Sales
2020-05-14,Washington DC,92
2020-05-15,Washington DC,77
2020-05-16,Washington DC,48
2020-05-17,Washington DC,44
2020-05-18,Washington DC,75
2020-05-19,Washington DC,83
2020-05-20,Washington DC,13
2020-05-21,Washington DC,40
2020-05-22,Washington DC,40
2020-05-23,Washington DC,2
2020-05-24,Washington DC,96
2020-05-25,Washington DC,67
2020-05-26,Washington DC,40
2020-05-27,Washington DC,52
2020-05-28,Washington DC,70
2020-05-29,Washington DC,66
2020-05-30,Washington DC,72
2020-05-31,Washington DC,20
2020-06-01,Washington DC,100
2020-06-02,Washington DC,25
2020-06-03,Washington DC,9
2020-06-04,Washington DC,29
2020-06-05,Washington DC,48
2020-06-06,Washington DC,21
2020-06-07,Washington DC,93
2020-06-08,Washington DC,41
2020-06-09,Washington DC,32
2020-06-10,Washington DC,71
2020-06-11,Washington DC,9
2020-06-12,Washington DC,29
2020-06-13,Washington DC,74
2020-06-14,Washington DC,96
2020-06-15,Washington DC,33
2020-06-16,Washington DC,7
2020-06-17,Washington DC,50
2020-06-18,Washington DC,8
2020-06-19,Washington DC,36
2020-06-20,Washington DC,88
2020-06-21,Washington DC,13
2020-06-22,Washington DC,10
2020-06-23,Washington DC,20
2020-06-24,Washington DC,78
2020-06-25,Washington DC,93
2020-06-26,Washington DC,48
2020-06-27,Washington DC,8
2020-06-28,Washington DC,50
2020-06-29,Washington DC,29
2020-06-30,Washington DC,68
2020-07-01,Washington DC,14
2020-07-02,Washington DC,22
2020-07-03,Washington DC,28
2020-07-04,Washington DC,80
2020-07-05,Washington DC,44
2020-07-06,Washington DC,21
2020-07-07,Washington DC,18
2020-07-08,Washington DC,76
2020-07-09,Washington DC,55
2020-07-10,Washington DC,8
2020-07-11,Washington DC,61
2020-07-12,Washington DC,11
2020-07-13,Washington DC,7
2020-07-14,Washington DC,83
2020-07-15,Washington DC,19
2020-07-16,Washington DC,78
2020-07-17,Washington DC,78
2020-07-18,Washington DC,14
2020-07-19,Washington DC,21
2020-07-20,Washington DC,14
2020-07-21,Washington DC,64
2020-07-22,Washington DC,3
2020-07-23,Washington DC,21
2020-07-24,Washington DC,35
2020-07-25,Washington DC,81
2020-07-26,Washington DC,31
2020-07-27,Washington DC,31
2020-07-28,Washington DC,34
2020-07-29,Washington DC,46
2020-07-30,Washington DC,74
2020-07-31,Washington DC,74
2020-08-01,Washington DC,90
2020-08-02,Washington DC,8
2020-08-03,Washington DC,12
2020-08-04,Washington DC,24
2020-08-05,Washington DC,42
2020-08-06,Washington DC,17
2020-08-07,Washington DC,84
2020-08-08,Washington DC,19
2020-08-09,Washington DC,7
2020-08-10,Washington DC,73
2020-08-11,Washington DC,43
2020-08-12,Washington DC,23
2020-08-13,Washington DC,7
2020-08-14,Washington DC,56
2020-08-15,Washington DC,78
2020-08-16,Washington DC,24
2020-08-17,Washington DC,45
2020-08-18,Washington DC,33
2020-08-19,Washington DC,31
2020-08-20,Washington DC,90
2020-08-21,Washington DC,17
2020-08-22,Washington DC,62
2020-08-23,Washington DC,38
2020-08-24,Washington DC,8
2020-08-25,Washington DC,30
2020-08-26,Washington DC,38
2020-08-27,Washington DC,70
2020-08-28,Washington DC,86
2020-08-29,Washington DC,90
2020-08-30,Washington DC,100
2020-08-31,Washington DC,87
2020-09-01,Washington DC,84
2020-09-02,Washington DC,34
2020-09-03,Washington DC,66
2020-09-04,Washington DC,17
2020-09-05,Washington DC,9
2020-09-06,Washington DC,67
2020-09-07,Washington DC,43
2020-09-08,Washington DC,45
2020-09-09,Washington DC,97
2020-09-10,Washington DC,68
2020-09-11,Washington DC,15
2020-09-12,Washington DC,32
2020-09-13,Washington DC,63
2020-09-14,Washington DC,2
2020-09-15,Washington DC,26
2020-09-16,Washington DC,100
2020-09-17,Washington DC,29
2020-09-18,Washington DC,38
2020-09-19,Washington DC,47
2020-09-20,Washington DC,12
2020-09-21,Washington DC,31
2020-09-22,Washington DC,79
2020-09-23,Washington DC,34
2020-09-24,Washington DC,38
2020-09-25,Washington DC,41
2020-09-26,Washington DC,55
2020-09-27,Washington DC,3
2020-09-28,Washington DC,12
2020-09-29,Washington DC,37
2020-09-30,Washington DC,56
2020-10-01,Washington DC,19
2020-10-02,Washington DC,85
2020-10-03,Washington DC,98
2020-10-04,Washington DC,52
2020-10-05,Washington DC,3
2020-10-06,Washington DC,1
2020-10-07,Washington DC,50
2020-10-08,Washington DC,63
2020-10-09,Washington DC,53
2020-10-10,Washington DC,99
2020-10-11,Washington DC,63
2020-10-12,Washington DC,4
2020-10-13,Washington DC,85
2020-10-14,Washington DC,22
2020-10-15,Washington DC,46
2020-10-16,Washington DC,28
2020-10-17,Washington DC,43
2020-10-18,Washington DC,17
2020-10-19,Washington DC,8
2020-10-20,Washington DC,31
2020-10-21,Washington DC,66
2020-10-22,Washington DC,70
2020-10-23,Washington DC,92
2020-10-24,Washington DC,18
2020-10-25,Washington DC,63
2020-10-26,Washington DC,49
2020-10-27,Washington DC,38
2020-10-28,Washington DC,17
2020-10-29,Washington DC,9
2020-10-30,Washington DC,57
2020-10-31,Washington DC,38
2020-11-01,Washington DC,13
2020-11-02,Washington DC,36
2020-11-03,Washington DC,21
2020-11-04,Washington DC,30
2020-11-05,Washington DC,14
2020-11-06,Washington DC,68
2020-11-07,Washington DC,53
2020-11-08,Washington DC,42
2020-11-09,Washington DC,89
2020-11-10,Washington DC,33
2020-11-11,Washington DC,73
2020-11-12,Washington DC,50
2020-11-13,Washington DC,41
2020-11-14,Washington DC,96
2020-11-15,Washington DC,21
2020-11-16,Washington DC,87
2020-11-17,Washington DC,81
2020-11-18,Washington DC,17
2020-11-19,Washington DC,23
2020-11-20,Washington DC,56
2020-11-21,Washington DC,12
2020-11-22,Washington DC,75
2020-11-23,Washington DC,85
2020-11-24,Washington DC,96
2020-11-25,Washington DC,48
2020-11-26,Washington DC,12
2020-11-27,Washington DC,93
2020-11-28,Washington DC,62
2020-11-29,Washington DC,91
2020-11-30,Washington DC,70
2020-12-01,Washington DC,48
2020-12-02,Washington DC,79
2020-12-03,Washington DC,79
2020-12-04,Washington DC,22
2020-12-05,Washington DC,53
2020-12-06,Washington DC,42
2020-12-07,Washington DC,63
2020-12-08,Washington DC,98
2020-12-09,Washington DC,94
2020-12-10,Washington DC,56
2020-12-11,Washington DC,74
2020-12-12,Washington DC,54
2020-12-13,Washington DC,30
2020-12-14,Washington DC,99
2020-12-15,Washington DC,87
2020-12-16,Washington DC,57
2020-12-17,Washington DC,100
2020-12-18,Washington DC,50
2020-12-19,Washington DC,94
2020-12-20,Washington DC,72
2020-12-21,Washington DC,99
2020-12-22,Washington DC,10
2020-12-23,Washington DC,91
2020-12-24,Washington DC,74
2020-12-25,Washington DC,29
2020-12-26,Washington DC,46
2020-12-27,Washington DC,24
2020-12-28,Washington DC,55
2020-12-29,Washington DC,45
2020-12-30,Washington DC,73
2020-12-31,Washington DC,26
2021-01-01,Washington DC,54
2021-01-02,Washington DC,97
2021-01-03,Washington DC,92
2021-01-04,Washington DC,3
2021-01-05,Washington DC,72
2021-01-06,Washington DC,36
2021-01-07,Washington DC,53
2021-01-08,Washington DC,22
2021-01-09,Washington DC,73
2021-01-10,Washington DC,10
2021-01-11,Washington DC,6
2021-01-12,Washington DC,47
2021-01-13,Washington DC,75
2021-01-14,Washington DC,33
2021-01-15,Washington DC,5
2021-01-16,Washington DC,43
2021-01-17,Washington DC,42
2021-01-18,Washington DC,6
2021-01-19,Washington DC,56
2021-01-20,Washington DC,90
2021-01-21,Washington DC,98
2021-01-22,Washington DC,93
2021-01-23,Washington DC,51
2021-01-24,Washington DC,91
2021-01-25,Washington DC,94
2021-01-26,Washington DC,98
2021-01-27,Washington DC,28
2021-01-28,Washington DC,21
2021-01-29,Washington DC,69
2021-01-30,Washington DC,7
2021-01-31,Washington DC,11
2021-02-01,Washington DC,92
2021-02-02,Washington DC,84
2021-02-03,Washington DC,19
2021-02-04,Washington DC,35
2021-02-05,Washington DC,83
2021-02-06,Washington DC,51
2021-02-07,Washington DC,9
2021-02-08,Washington DC,60
2021-02-09,Washington DC,45
2021-02-10,Washington DC,37
2021-02-11,Washington DC,73
2021-02-12,Washington DC,25
2021-02-13,Washington DC,4
2021-02-14,Washington DC,37
2021-02-15,Washington DC,41
2021-02-16,Washington DC,88
2021-02-17,Washington DC,23
2021-02-18,Washington DC,73
2021-02-19,Washington DC,12
2021-02-20,Washington DC,14
2021-02-21,Washington DC,61
2021-02-22,Washington DC,61
2021-02-23,Washington DC,89
2021-02-24,Washington DC,11
2021-02-25,Washington DC,61
2021-02-26,Washington DC,23
2021-02-27,Washington DC,14
2021-02-28,Washington DC,85
