Date,Store,Sales
184,2020-07-03,New York City,36
185,2020-07-04,New York City,75
186,2020-07-05,New York City,100
187,2020-07-06,New York City,8
188,2020-07-07,New York City,23
189,2020-07-08,New York City,41
190,2020-07-09,New York City,2
191,2020-07-10,New York City,84
192,2020-07-11,New York City,13
193,2020-07-12,New York City,2
194,2020-07-13,New York City,52
195,2020-07-14,New York City,89
196,2020-07-15,New York City,60
197,2020-07-16,New York City,1
198,2020-07-17,New York City,35
199,2020-07-18,New York City,42
200,2020-07-19,New York City,90
201,2020-07-20,New York City,76
202,2020-07-21,New York City,82
203,2020-07-22,New York City,92
204,2020-07-23,New York City,64
205,2020-07-24,New York City,66
206,2020-07-25,New York City,46
207,2020-07-26,New York City,29
208,2020-07-27,New York City,13
209,2020-07-28,New York City,6
210,2020-07-29,New York City,7
211,2020-07-30,New York City,48
212,2020-07-31,New York City,74
213,2020-08-01,New York City,74
214,2020-08-02,New York City,80
215,2020-08-03,New York City,5
216,2020-08-04,New York City,67
217,2020-08-05,New York City,86
218,2020-08-06,New York City,45
219,2020-08-07,New York City,45
220,2020-08-08,New York City,83
221,2020-08-09,New York City,88
222,2020-08-10,New York City,66
223,2020-08-11,New York City,10
224,2020-08-12,New York City,12
225,2020-08-13,New York City,98
226,2020-08-14,New York City,19
227,2020-08-15,New York City,61
228,2020-08-16,New York City,97
229,2020-08-17,New York City,4
230,2020-08-18,New York City,39
231,2020-08-19,New York City,95
232,2020-08-20,New York City,33
233,2020-08-21,New York City,69
234,2020-08-22,New York City,7
235,2020-08-23,New York City,20
236,2020-08-24,New York City,9
237,2020-08-25,New York City,7
238,2020-08-26,New York City,53
239,2020-08-27,New York City,86
240,2020-08-28,New York City,21
241,2020-08-29,New York City,22
242,2020-08-30,New York City,17
243,2020-08-31,New York City,6
244,2020-09-01,New York City,31
245,2020-09-02,New York City,72
246,2020-09-03,New York City,33
247,2020-09-04,New York City,27
248,2020-09-05,New York City,7
249,2020-09-06,New York City,61
250,2020-09-07,New York City,94
251,2020-09-08,New York City,25
252,2020-09-09,New York City,73
253,2020-09-10,New York City,52
254,2020-09-11,New York City,99
255,2020-09-12,New York City,36
256,2020-09-13,New York City,42
257,2020-09-14,New York City,59
258,2020-09-15,New York City,65
259,2020-09-16,New York City,10
260,2020-09-17,New York City,51
261,2020-09-18,New York City,83
262,2020-09-19,New York City,20
263,2020-09-20,New York City,33
264,2020-09-21,New York City,66
265,2020-09-22,New York City,59
266,2020-09-23,New York City,19
267,2020-09-24,New York City,32
268,2020-09-25,New York City,98
269,2020-09-26,New York City,98
270,2020-09-27,New York City,67
271,2020-09-28,New York City,71
272,2020-09-29,New York City,35
273,2020-09-30,New York City,94
274,2020-10-01,New York City,87
275,2020-10-02,New York City,15
276,2020-10-03,New York City,98
277,2020-10-04,New York City,32
278,2020-10-05,New York City,87
279,2020-10-06,New York City,67
280,2020-10-07,New York City,9
281,2020-10-08,New York City,97
282,2020-10-09,New York City,61
283,2020-10-10,New York City,5
284,2020-10-11,New York City,48
285,2020-10-12,New York City,23
286,2020-10-13,New York City,47
287,2020-10-14,New York City,65
288,2020-10-15,New York City,41
289,2020-10-16,New York City,55
290,2020-10-17,New York City,66
291,2020-10-18,New York City,10
292,2020-10-19,New York City,32
293,2020-10-20,New York City,73
294,2020-10-21,New York City,77
295,2020-10-22,New York City,7
296,2020-10-23,New York City,39
297,2020-10-24,New York City,18
298,2020-10-25,New York City,81
299,2020-10-26,New York City,32
300,2020-10-27,New York City,95
301,2020-10-28,New York City,57
302,2020-10-29,New York City,56
303,2020-10-30,New York City,98
304,2020-10-31,New York City,81
305,2020-11-01,New York City,48
306,2020-11-02,New York City,17
307,2020-11-03,New York City,96
308,2020-11-04,New York City,94
309,2020-11-05,New York City,12
310,2020-11-06,New York City,69
311,2020-11-07,New York City,19
312,2020-11-08,New York City,85
313,2020-11-09,New York City,46
314,2020-11-10,New York City,13
315,2020-11-11,New York City,46
316,2020-11-12,New York City,84
317,2020-11-13,New York City,34
318,2020-11-14,New York City,31
319,2020-11-15,New York City,84
320,2020-11-16,New York City,47
321,2020-11-17,New York City,22
322,2020-11-18,New York City,92
323,2020-11-19,New York City,56
324,2020-11-20,New York City,31
325,2020-11-21,New York City,43
326,2020-11-22,New York City,80
327,2020-11-23,New York City,60
328,2020-11-24,New York City,71
329,2020-11-25,New York City,16
330,2020-11-26,New York City,46
331,2020-11-27,New York City,77
332,2020-11-28,New York City,95
333,2020-11-29,New York City,40
334,2020-11-30,New York City,54
335,2020-12-01,New York City,98
336,2020-12-02,New York City,26
337,2020-12-03,New York City,54
338,2020-12-04,New York City,35
339,2020-12-05,New York City,90
340,2020-12-06,New York City,39
341,2020-12-07,New York City,77
342,2020-12-08,New York City,53
343,2020-12-09,New York City,20
344,2020-12-10,New York City,53
345,2020-12-11,New York City,67
346,2020-12-12,New York City,85
347,2020-12-13,New York City,66
348,2020-12-14,New York City,92
349,2020-12-15,New York City,94
350,2020-12-16,New York City,42
351,2020-12-17,New York City,46
352,2020-12-18,New York City,35
353,2020-12-19,New York City,8
354,2020-12-20,New York City,29
355,2020-12-21,New York City,95
356,2020-12-22,New York City,92
357,2020-12-23,New York City,37
358,2020-12-24,New York City,37
359,2020-12-25,New York City,1
360,2020-12-26,New York City,53
361,2020-12-27,New York City,38
362,2020-12-28,New York City,16
363,2020-12-29,New York City,89
364,2020-12-30,New York City,49
365,2020-12-31,New York City,80
366,2021-01-01,New York City,93
367,2021-01-02,New York City,10
368,2021-01-03,New York City,60
369,2021-01-04,New York City,61
370,2021-01-05,New York City,13
371,2021-01-06,New York City,6
372,2021-01-07,New York City,95
373,2021-01-08,New York City,13
374,2021-01-09,New York City,35
375,2021-01-10,New York City,79
376,2021-01-11,New York City,27
377,2021-01-12,New York City,7
378,2021-01-13,New York City,55
379,2021-01-14,New York City,81
380,2021-01-15,New York City,89
381,2021-01-16,New York City,94
382,2021-01-17,New York City,33
383,2021-01-18,New York City,54
384,2021-01-19,New York City,74
385,2021-01-20,New York City,75
386,2021-01-21,New York City,57
387,2021-01-22,New York City,40
388,2021-01-23,New York City,70
389,2021-01-24,New York City,47
390,2021-01-25,New York City,79
391,2021-01-26,New York City,87
392,2021-01-27,New York City,94
393,2021-01-28,New York City,90
394,2021-01-29,New York City,91
395,2021-01-30,New York City,42
396,2021-01-31,New York City,3
397,2021-02-01,New York City,36
398,2021-02-02,New York City,14
399,2021-02-03,New York City,50
400,2021-02-04,New York City,91
401,2021-02-05,New York City,36
402,2021-02-06,New York City,55
403,2021-02-07,New York City,91
404,2021-02-08,New York City,22
405,2021-02-09,New York City,49
406,2021-02-10,New York City,42
407,2021-02-11,New York City,38
408,2021-02-12,New York City,50
409,2021-02-13,New York City,68
410,2021-02-14,New York City,24
411,2021-02-15,New York City,53
412,2021-02-16,New York City,33
413,2021-02-17,New York City,76
414,2021-02-18,New York City,48
415,2021-02-19,New York City,3
416,2021-02-20,New York City,63
417,2021-02-21,New York City,46
418,2021-02-22,New York City,38
419,2021-02-23,New York City,66
420,2021-02-24,New York City,91
421,2021-02-25,New York City,6
422,2021-02-26,New York City,54
423,2021-02-27,New York City,89
424,2021-02-28,New York City,76
425,2021-03-01,New York City,12
426,2021-03-02,New York City,50
427,2021-03-03,New York City,67
428,2021-03-04,New York City,16
429,2021-03-05,New York City,77
430,2021-03-06,New York City,13
431,2021-03-07,New York City,64
432,2021-03-08,New York City,65
433,2021-03-09,New York City,63
434,2021-03-10,New York City,54
435,2021-03-11,New York City,9
436,2021-03-12,New York City,84
437,2021-03-13,New York City,77
438,2021-03-14,New York City,23
439,2021-03-15,New York City,37
440,2021-03-16,New York City,91
441,2021-03-17,New York City,55
442,2021-03-18,New York City,38
443,2021-03-19,New York City,3
444,2021-03-20,New York City,58
445,2021-03-21,New York City,23
446,2021-03-22,New York City,77
447,2021-03-23,New York City,41
448,2021-03-24,New York City,55
449,2021-03-25,New York City,43
450,2021-03-26,New York City,12
451,2021-03-27,New York City,34
452,2021-03-28,New York City,45
453,2021-03-29,New York City,98
454,2021-03-30,New York City,6
455,2021-03-31,New York City,86
