Date,Store,Sales
1494,2020-05-06,Seattle,21
1495,2020-05-07,Seattle,71
1496,2020-05-08,Seattle,83
1497,2020-05-09,Seattle,35
1498,2020-05-10,Seattle,70
1499,2020-05-11,Seattle,5
1500,2020-05-12,Seattle,39
1501,2020-05-13,Seattle,51
1502,2020-05-14,Seattle,63
1503,2020-05-15,Seattle,8
1504,2020-05-16,Seattle,69
1505,2020-05-17,Seattle,1
1506,2020-05-18,Seattle,99
1507,2020-05-19,Seattle,72
1508,2020-05-20,Seattle,27
1509,2020-05-21,Seattle,65
1510,2020-05-22,Seattle,14
1511,2020-05-23,Seattle,44
1512,2020-05-24,Seattle,3
1513,2020-05-25,Seattle,34
1514,2020-05-26,Seattle,76
1515,2020-05-27,Seattle,94
1516,2020-05-28,Seattle,95
1517,2020-05-29,Seattle,99
1518,2020-05-30,Seattle,92
1519,2020-05-31,Seattle,45
1520,2020-06-01,Seattle,33
1521,2020-06-02,Seattle,67
1522,2020-06-03,Seattle,77
1523,2020-06-04,Seattle,61
1524,2020-06-05,Seattle,57
1525,2020-06-06,Seattle,100
1526,2020-06-07,Seattle,4
1527,2020-06-08,Seattle,64
1528,2020-06-09,Seattle,77
1529,2020-06-10,Seattle,33
1530,2020-06-11,Seattle,83
1531,2020-06-12,Seattle,77
1532,2020-06-13,Seattle,87
1533,2020-06-14,Seattle,39
1534,2020-06-15,Seattle,34
1535,2020-06-16,Seattle,69
1536,2020-06-17,Seattle,74
1537,2020-06-18,Seattle,32
1538,2020-06-19,Seattle,23
1539,2020-06-20,Seattle,36
1540,2020-06-21,Seattle,46
1541,2020-06-22,Seattle,1
1542,2020-06-23,Seattle,62
1543,2020-06-24,Seattle,28
1544,2020-06-25,Seattle,5
1545,2020-06-26,Seattle,57
1546,2020-06-27,Seattle,35
1547,2020-06-28,Seattle,71
1548,2020-06-29,Seattle,47
1549,2020-06-30,Seattle,83
1550,2020-07-01,Seattle,1
1551,2020-07-02,Seattle,80
1552,2020-07-03,Seattle,33
1553,2020-07-04,Seattle,43
1554,2020-07-05,Seattle,84
1555,2020-07-06,Seattle,4
1556,2020-07-07,Seattle,20
1557,2020-07-08,Seattle,30
1558,2020-07-09,Seattle,94
1559,2020-07-10,Seattle,47
1560,2020-07-11,Seattle,61
1561,2020-07-12,Seattle,59
1562,2020-07-13,Seattle,84
1563,2020-07-14,Seattle,26
1564,2020-07-15,Seattle,40
1565,2020-07-16,Seattle,32
1566,2020-07-17,Seattle,56
1567,2020-07-18,Seattle,40
1568,2020-07-19,Seattle,53
1569,2020-07-20,Seattle,32
1570,2020-07-21,Seattle,50
1571,2020-07-22,Seattle,41
1572,2020-07-23,Seattle,70
1573,2020-07-24,Seattle,27
1574,2020-07-25,Seattle,89
1575,2020-07-26,Seattle,94
1576,2020-07-27,Seattle,81
1577,2020-07-28,Seattle,28
1578,2020-07-29,Seattle,50
1579,2020-07-30,Seattle,12
1580,2020-07-31,Seattle,21
1581,2020-08-01,Seattle,37
1582,2020-08-02,Seattle,7
1583,2020-08-03,Seattle,88
1584,2020-08-04,Seattle,67
1585,2020-08-05,Seattle,62
1586,2020-08-06,Seattle,31
1587,2020-08-07,Seattle,30
1588,2020-08-08,Seattle,13
1589,2020-08-09,Seattle,57
1590,2020-08-10,Seattle,5
1591,2020-08-11,Seattle,72
1592,2020-08-12,Seattle,6
1593,2020-08-13,Seattle,61
1594,2020-08-14,Seattle,8
1595,2020-08-15,Seattle,11
1596,2020-08-16,Seattle,8
1597,2020-08-17,Seattle,43
1598,2020-08-18,Seattle,45
1599,2020-08-19,Seattle,94
1600,2020-08-20,Seattle,48
1601,2020-08-21,Seattle,70
1602,2020-08-22,Seattle,12
1603,2020-08-23,Seattle,58
1604,2020-08-24,Seattle,87
1605,2020-08-25,Seattle,62
1606,2020-08-26,Seattle,83
1607,2020-08-27,Seattle,93
1608,2020-08-28,Seattle,22
1609,2020-08-29,Seattle,34
1610,2020-08-30,Seattle,81
1611,2020-08-31,Seattle,98
1612,2020-09-01,Seattle,91
1613,2020-09-02,Seattle,12
1614,2020-09-03,Seattle,79
1615,2020-09-04,Seattle,82
1616,2020-09-05,Seattle,76
1617,2020-09-06,Seattle,83
1618,2020-09-07,Seattle,49
1619,2020-09-08,Seattle,17
1620,2020-09-09,Seattle,77
1621,2020-09-10,Seattle,58
1622,2020-09-11,Seattle,90
1623,2020-09-12,Seattle,76
1624,2020-09-13,Seattle,30
1625,2020-09-14,Seattle,98
1626,2020-09-15,Seattle,26
1627,2020-09-16,Seattle,97
1628,2020-09-17,Seattle,61
1629,2020-09-18,Seattle,26
1630,2020-09-19,Seattle,97
1631,2020-09-20,Seattle,43
1632,2020-09-21,Seattle,67
1633,2020-09-22,Seattle,56
1634,2020-09-23,Seattle,57
1635,2020-09-24,Seattle,60
1636,2020-09-25,Seattle,24
1637,2020-09-26,Seattle,98
1638,2020-09-27,Seattle,89
1639,2020-09-28,Seattle,68
1640,2020-09-29,Seattle,81
1641,2020-09-30,Seattle,88
1642,2020-10-01,Seattle,42
1643,2020-10-02,Seattle,73
1644,2020-10-03,Seattle,27
1645,2020-10-04,Seattle,80
1646,2020-10-05,Seattle,62
1647,2020-10-06,Seattle,58
1648,2020-10-07,Seattle,7
1649,2020-10-08,Seattle,55
1650,2020-10-09,Seattle,97
1651,2020-10-10,Seattle,44
1652,2020-10-11,Seattle,27
1653,2020-10-12,Seattle,12
1654,2020-10-13,Seattle,72
1655,2020-10-14,Seattle,91
1656,2020-10-15,Seattle,70
1657,2020-10-16,Seattle,59
1658,2020-10-17,Seattle,84
1659,2020-10-18,Seattle,16
1660,2020-10-19,Seattle,59
1661,2020-10-20,Seattle,39
1662,2020-10-21,Seattle,100
1663,2020-10-22,Seattle,31
1664,2020-10-23,Seattle,34
1665,2020-10-24,Seattle,37
1666,2020-10-25,Seattle,84
1667,2020-10-26,Seattle,2
1668,2020-10-27,Seattle,37
1669,2020-10-28,Seattle,45
1670,2020-10-29,Seattle,35
1671,2020-10-30,Seattle,93
1672,2020-10-31,Seattle,16
1673,2020-11-01,Seattle,30
1674,2020-11-02,Seattle,5
1675,2020-11-03,Seattle,57
1676,2020-11-04,Seattle,65
1677,2020-11-05,Seattle,83
1678,2020-11-06,Seattle,58
1679,2020-11-07,Seattle,49
1680,2020-11-08,Seattle,10
1681,2020-11-09,Seattle,1
1682,2020-11-10,Seattle,21
1683,2020-11-11,Seattle,17
1684,2020-11-12,Seattle,72
1685,2020-11-13,Seattle,32
1686,2020-11-14,Seattle,16
1687,2020-11-15,Seattle,82
1688,2020-11-16,Seattle,74
1689,2020-11-17,Seattle,11
1690,2020-11-18,Seattle,2
1691,2020-11-19,Seattle,29
1692,2020-11-20,Seattle,82
1693,2020-11-21,Seattle,20
1694,2020-11-22,Seattle,37
1695,2020-11-23,Seattle,64
1696,2020-11-24,Seattle,86
1697,2020-11-25,Seattle,17
1698,2020-11-26,Seattle,58
1699,2020-11-27,Seattle,64
1700,2020-11-28,Seattle,30
1701,2020-11-29,Seattle,85
1702,2020-11-30,Seattle,44
1703,2020-12-01,Seattle,99
1704,2020-12-02,Seattle,85
1705,2020-12-03,Seattle,80
1706,2020-12-04,Seattle,38
1707,2020-12-05,Seattle,63
1708,2020-12-06,Seattle,25
1709,2020-12-07,Seattle,31
1710,2020-12-08,Seattle,45
1711,2020-12-09,Seattle,12
1712,2020-12-10,Seattle,50
1713,2020-12-11,Seattle,78
1714,2020-12-12,Seattle,80
1715,2020-12-13,Seattle,89
1716,2020-12-14,Seattle,55
1717,2020-12-15,Seattle,69
1718,2020-12-16,Seattle,53
1719,2020-12-17,Seattle,74
1720,2020-12-18,Seattle,65
1721,2020-12-19,Seattle,94
1722,2020-12-20,Seattle,87
1723,2020-12-21,Seattle,59
1724,2020-12-22,Seattle,73
1725,2020-12-23,Seattle,90
1726,2020-12-24,Seattle,55
1727,2020-12-25,Seattle,40
1728,2020-12-26,Seattle,56
1729,2020-12-27,Seattle,79
1730,2020-12-28,Seattle,53
1731,2020-12-29,Seattle,72
1732,2020-12-30,Seattle,94
1733,2020-12-31,Seattle,59
1734,2021-01-01,Seattle,58
1735,2021-01-02,Seattle,66
1736,2021-01-03,Seattle,99
1737,2021-01-04,Seattle,32
1738,2021-01-05,Seattle,89
1739,2021-01-06,Seattle,87
1740,2021-01-07,Seattle,31
1741,2021-01-08,Seattle,80
1742,2021-01-09,Seattle,61
1743,2021-01-10,Seattle,10
1744,2021-01-11,Seattle,66
1745,2021-01-12,Seattle,34
1746,2021-01-13,Seattle,100
1747,2021-01-14,Seattle,21
1748,2021-01-15,Seattle,14
1749,2021-01-16,Seattle,100
1750,2021-01-17,Seattle,95
1751,2021-01-18,Seattle,27
1752,2021-01-19,Seattle,79
1753,2021-01-20,Seattle,73
1754,2021-01-21,Seattle,66
1755,2021-01-22,Seattle,28
1756,2021-01-23,Seattle,35
1757,2021-01-24,Seattle,66
1758,2021-01-25,Seattle,94
1759,2021-01-26,Seattle,17
1760,2021-01-27,Seattle,9
1761,2021-01-28,Seattle,67
1762,2021-01-29,Seattle,64
1763,2021-01-30,Seattle,3
1764,2021-01-31,Seattle,12
1765,2021-02-01,Seattle,62
1766,2021-02-02,Seattle,51
1767,2021-02-03,Seattle,21
1768,2021-02-04,Seattle,65
1769,2021-02-05,Seattle,45
1770,2021-02-06,Seattle,89
1771,2021-02-07,Seattle,84
1772,2021-02-08,Seattle,58
1773,2021-02-09,Seattle,24
1774,2021-02-10,Seattle,22
1775,2021-02-11,Seattle,59
1776,2021-02-12,Seattle,7
1777,2021-02-13,Seattle,39
1778,2021-02-14,Seattle,96
1779,2021-02-15,Seattle,50
1780,2021-02-16,Seattle,36
1781,2021-02-17,Seattle,98
1782,2021-02-18,Seattle,86
1783,2021-02-19,Seattle,72
1784,2021-02-20,Seattle,46
1785,2021-02-21,Seattle,86
1786,2021-02-22,Seattle,14
1787,2021-02-23,Seattle,54
1788,2021-02-24,Seattle,44
1789,2021-02-25,Seattle,74
1790,2021-02-26,Seattle,70
1791,2021-02-27,Seattle,93
1792,2021-02-28,Seattle,50
1793,2021-03-01,Seattle,10
1794,2021-03-02,Seattle,18
1795,2021-03-03,Seattle,19
1796,2021-03-04,Seattle,44
1797,2021-03-05,Seattle,85
1798,2021-03-06,Seattle,98
1799,2021-03-07,Seattle,65
1800,2021-03-08,Seattle,63
1801,2021-03-09,Seattle,83
1802,2021-03-10,Seattle,63
1803,2021-03-11,Seattle,37
1804,2021-03-12,Seattle,91
1805,2021-03-13,Seattle,83
1806,2021-03-14,Seattle,72
1807,2021-03-15,Seattle,5
1808,2021-03-16,Seattle,87
1809,2021-03-17,Seattle,65
1810,2021-03-18,Seattle,40
1811,2021-03-19,Seattle,35
1812,2021-03-20,Seattle,18
1813,2021-03-21,Seattle,6
1814,2021-03-22,Seattle,63
1815,2021-03-23,Seattle,78
1816,2021-03-24,Seattle,23
1817,2021-03-25,Seattle,80
1818,2021-03-26,Seattle,81
1819,2021-03-27,Seattle,15
1820,2021-03-28,Seattle,41
1821,2021-03-29,Seattle,85
1822,2021-03-30,Seattle,34
1823,2021-03-31,Seattle,3
